symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2018-05-04,88250.0,88350.0,87730.0,87860.0,735730.0,,,,,,
VNM,2018-05-07,88350.0,90970.0,88100.0,90730.0,771810.0,,,,,,
VNM,2018-05-08,90970.0,90970.0,88390.0,88390.0,514230.0,,,,,,
VNM,2018-05-09,88350.0,88830.0,87860.0,88350.0,555260.0,,,,,,
VNM,2018-05-10,88830.0,88830.0,85470.0,85950.0,451010.0,,,,,,
VNM,2018-05-11,85950.0,86450.0,84520.0,85010.0,1006620.0,,,,,,
VNM,2018-05-14,85470.0,85950.0,84060.0,85010.0,575000.0,,,,,,
VNM,2018-05-15,85950.0,86210.0,84060.0,84060.0,1240740.0,,,,,,
VNM,2018-05-16,84060.0,84570.0,80760.0,80760.0,1644010.0,,,,,,
VNM,2018-05-17,80700.0,80930.0,78800.0,78800.0,1028400.0,,,,,,
VNM,2018-05-18,79280.0,81720.0,79080.0,81720.0,1153810.0,,,,,,
VNM,2018-05-21,82140.0,82140.0,78830.0,79280.0,1042490.0,,,,,,
VNM,2018-05-22,78800.0,79280.0,76410.0,77350.0,1185350.0,,,,,,
VNM,2018-05-23,76460.0,80930.0,76460.0,79880.0,971280.0,,,,,,
VNM,2018-05-24,80700.0,80890.0,79640.0,80230.0,807290.0,,,,,,
VNM,2018-05-25,79740.0,80230.0,79280.0,79280.0,512860.0,,,,,,
VNM,2018-05-28,78800.0,79040.0,77350.0,78800.0,464830.0,,,,,,
VNM,2018-05-29,78090.0,80930.0,77350.0,80510.0,703120.0,,,,,,
VNM,2018-05-30,80230.0,80270.0,78830.0,79040.0,491920.0,,,,,,
VNM,2018-05-31,79040.0,79280.0,78090.0,78400.0,2231710.0,,,,,,
VNM,2018-06-01,79280.0,80800.0,79040.0,80330.0,1051610.0,,,,,,
VNM,2018-06-04,81170.0,83670.0,80700.0,83570.0,965230.0,,,,,,
VNM,2018-06-05,84060.0,86420.0,83310.0,85020.0,879160.0,,,,,,
VNM,2018-06-06,85020.0,85020.0,83310.0,84060.0,463720.0,,,,,,
VNM,2018-06-07,84430.0,85440.0,84370.0,85160.0,401900.0,,,,,,
VNM,2018-06-08,84090.0,85020.0,84090.0,85020.0,505520.0,,,,,,
