symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2018-11-29,57190.0,57480.0,57120.0,57340.0,473940.0,,,,,,
VHM,2018-11-30,57340.0,57480.0,55370.0,56680.0,593960.0,,,,,,
VHM,2018-12-03,57190.0,57340.0,56610.0,56610.0,194530.0,,,,,,
VHM,2018-12-04,56830.0,60470.0,56830.0,59740.0,700280.0,,,,,,
VHM,2018-12-05,58290.0,60110.0,58290.0,58800.0,384670.0,,,,,,
VHM,2018-12-06,59010.0,59670.0,58650.0,59310.0,256140.0,,,,,,
VHM,2018-12-07,59310.0,59310.0,58290.0,58290.0,250620.0,,,,,,
VHM,2018-12-10,58140.0,58290.0,57560.0,58290.0,345240.0,,,,,,
VHM,2018-12-11,59310.0,59310.0,58210.0,58500.0,141650.0,,,,,,
VHM,2018-12-12,58500.0,58580.0,58070.0,58500.0,204900.0,,,,,,
VHM,2018-12-13,58360.0,59230.0,58360.0,58500.0,162470.0,,,,,,
VHM,2018-12-14,58500.0,58500.0,57920.0,58140.0,97030.0,,,,,,
VHM,2018-12-17,58140.0,58210.0,55740.0,56460.0,461140.0,,,,,,
VHM,2018-12-18,55370.0,56830.0,55010.0,56460.0,323660.0,,,,,,
VHM,2018-12-19,56830.0,56830.0,55880.0,56460.0,217620.0,,,,,,
VHM,2018-12-20,55950.0,56540.0,55950.0,56390.0,184090.0,,,,,,
VHM,2018-12-21,55950.0,55950.0,53840.0,53840.0,1469270.0,,,,,,
VHM,2018-12-24,54640.0,55370.0,54130.0,54210.0,172180.0,,,,,,
VHM,2018-12-25,53190.0,53910.0,52680.0,53550.0,232270.0,,,,,,
VHM,2018-12-26,53260.0,53550.0,52020.0,52460.0,547940.0,,,,,,
VHM,2018-12-27,53840.0,53840.0,53110.0,53400.0,304690.0,,,,,,
VHM,2018-12-28,53770.0,54280.0,53480.0,53480.0,399190.0,,,,,,
